aX,aY,aZ,gX,gY,gZ
-0.248,1.057,-0.393,-15.320,-1.831,12.573
-0.255,1.066,-0.407,-13.062,-1.099,13.672
-0.263,1.058,-0.424,-10.071,-0.793,13.977
-0.272,1.047,-0.423,-8.057,-0.916,13.123
-0.280,1.032,-0.424,-5.554,-1.099,11.902
-0.276,1.023,-0.433,-2.991,-0.671,10.376
-0.275,1.026,-0.440,-0.671,-0.549,7.874
-0.281,1.016,-0.451,3.540,-1.038,5.249
-0.280,1.001,-0.451,7.446,-1.831,2.258
-0.279,0.977,-0.444,10.071,-2.625,-0.427

-1.122,1.511,-0.301,-55.176,4.517,-104.309
-0.973,1.887,-0.634,-56.702,15.076,-129.395
-0.640,2.345,-1.035,-45.105,27.405,-143.433
-0.360,2.818,-1.472,-20.874,42.664,-149.536
-0.046,3.317,-1.860,15.442,55.298,-150.391
0.318,3.792,-2.290,73.242,61.523,-140.137
0.620,3.998,-2.589,124.451,61.829,-119.629
0.809,3.866,-2.611,152.527,55.298,-87.646
1.001,3.474,-2.392,164.185,54.443,-39.307
1.264,2.844,-2.159,177.063,67.261,20.081
1.595,2.085,-1.881,188.293,80.078,71.655
1.840,1.291,-1.537,196.838,85.083,100.464
1.974,0.629,-1.182,196.472,75.989,113.037
2.092,0.207,-0.918,186.462,56.213,121.216
2.168,-0.153,-0.806,172.791,32.654,123.169
1.964,-0.578,-0.728,163.757,6.714,103.943
1.833,-1.126,-0.584,161.316,-21.118,52.124
1.969,-1.545,-0.320,170.349,-63.599,11.841
1.649,-2.017,-0.185,185.608,-136.902,-13.794
1.272,-2.375,0.080,158.630,-180.664,-31.799
0.964,-2.372,0.323,97.290,-182.861,0.427
0.974,-2.271,0.339,59.265,-159.851,36.377
0.979,-2.196,0.282,32.410,-147.827,36.926
0.943,-2.074,0.189,10.925,-159.424,13.855
0.793,-1.872,0.118,-15.991,-187.805,0.549
0.599,-1.679,0.005,-30.090,-220.398,2.441
0.353,-1.590,-0.156,-34.485,-243.958,-7.690
-0.004,-1.540,-0.327,-42.480,-254.456,-24.963
-0.369,-1.453,-0.474,-56.335,-254.150,-30.884
-0.705,-1.319,-0.664,-69.214,-241.333,-23.376
-1.009,-1.173,-0.867,-80.994,-222.534,-10.376
-1.288,-1.025,-0.999,-96.619,-204.529,2.075
-1.586,-0.853,-1.015,-118.469,-186.829,11.475
-1.768,-0.637,-0.977,-140.137,-167.847,19.531
-1.910,-0.421,-0.926,-158.447,-144.592,21.240
-1.971,-0.160,-0.929,-168.823,-118.896,21.545
-1.989,0.172,-0.966,-173.828,-92.102,25.696
-1.948,0.525,-1.023,-180.115,-68.237,30.090
-1.862,0.880,-1.111,-187.439,-47.302,32.104
-1.781,1.202,-1.196,-192.139,-29.663,30.212
-1.719,1.492,-1.250,-193.665,-17.029,23.987
-1.683,1.742,-1.279,-191.223,-9.888,17.395
-1.607,1.950,-1.289,-183.350,-4.883,11.047
-1.521,2.092,-1.309,-171.570,3.052,4.639
-1.462,2.158,-1.317,-160.156,12.207,0.244
-1.418,2.187,-1.301,-147.644,21.179,2.686
-1.319,2.181,-1.271,-133.301,32.837,11.475
-1.198,2.122,-1.268,-117.554,48.340,20.081
-1.081,2.035,-1.243,-102.905,60.486,25.757
-1.000,1.925,-1.199,-89.233,68.115,28.687
-0.922,1.787,-1.133,-75.317,73.364,28.625
-0.823,1.658,-1.110,-60.181,77.942,26.611
-0.738,1.526,-1.104,-47.791,82.031,22.827
-0.638,1.416,-1.058,-42.114,83.618,17.822
-0.542,1.335,-1.007,-39.001,85.144,12.329
-0.445,1.278,-0.988,-35.278,86.609,7.263
-0.355,1.241,-0.996,-31.860,87.158,2.747
-0.282,1.214,-0.998,-29.602,85.571,-0.488
-0.223,1.197,-0.971,-29.053,81.909,-3.662
-0.174,1.187,-0.939,-26.489,77.332,-6.897
-0.150,1.178,-0.924,-19.836,73.730,-8.789
-0.140,1.159,-0.925,-12.146,71.167,-9.216
-0.137,1.128,-0.926,-6.653,69.092,-9.644
-0.141,1.100,-0.911,-3.601,67.322,-9.644
-0.141,1.069,-0.896,-0.732,66.101,-10.559
-0.141,1.033,-0.885,2.075,65.430,-12.451
-0.134,1.004,-0.871,4.517,64.087,-14.526
-0.129,0.984,-0.852,6.836,62.439,-16.235
